
RAID device 
   343072 Mbyte of  343308 MByte available for I/O
   342636 MByte of  343072 MByte in use,     436 MByte free
     4158 Files of   85768 Files in use,   81610 Files free

 FileID     MeasID                        ProtName                         PatName   Status         Size   SizeOnDisk          CreationTime             CloseTime dependent files (fileID)
  11646        260                        rf_field                          xxxxxx      cld      7189472      8388608   25.02.2018 16:58:12   25.02.2018 17:02:04
  11645        259                        rf_field                          xxxxxx      cld      7189472      8388608   25.02.2018 16:54:18   25.02.2018 16:58:11
  11644        258                        rf_field                          xxxxxx      cld      7188576      8388608   25.02.2018 16:50:25   25.02.2018 16:54:18
  11643        257                        rf_field                          xxxxxx      cld      7188576      8388608   25.02.2018 16:46:31   25.02.2018 16:50:24
  11642        256                        rf_field                          xxxxxx      cld      7189216      8388608   25.02.2018 16:42:38   25.02.2018 16:46:30
  11641        255                        rf_field                          xxxxxx      cld      7188576      8388608   25.02.2018 16:38:44   25.02.2018 16:42:37
  11640        254                        rf_field                          xxxxxx      cld      7188576      8388608   25.02.2018 16:34:51   25.02.2018 16:38:44
  11639        253                        rf_field                          xxxxxx      cld      7188576      8388608   25.02.2018 16:30:57   25.02.2018 16:34:50
  11638        252                        rf_field                          xxxxxx      cld      2864096      4194304   25.02.2018 16:29:37   25.02.2018 16:30:57
  11637        251                        rf_field                          xxxxxx      cld       699840      4194304   25.02.2018 16:29:29   25.02.2018 16:29:30
  11636        250                        rf_field                          xxxxxx      cld      2136864      4194304   25.02.2018 16:28:33   25.02.2018 16:29:27
  11635        249                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:27:13   25.02.2018 16:28:33
  11634        248                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:25:54   25.02.2018 16:27:13
  11633        247                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:24:34   25.02.2018 16:25:53
  11632        246                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:23:14   25.02.2018 16:24:33
  11631        245                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:21:54   25.02.2018 16:23:13
  11630        244                        rf_field                          xxxxxx      cld      2863520      4194304   25.02.2018 16:20:34   25.02.2018 16:21:53
  11629        243                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:19:14   25.02.2018 16:20:33
  11628        242                        rf_field                          xxxxxx      cld      2863744      4194304   25.02.2018 16:17:54   25.02.2018 16:19:14
  11627        241                        rf_field                          xxxxxx      cld      2862880      4194304   25.02.2018 16:16:34   25.02.2018 16:17:54
  11626        240                          AdjFre                          xxxxxx      cld       633504      4194304   25.02.2018 16:16:34   25.02.2018 16:16:34
  11625        239                       localizer                          xxxxxx      cld     77137024     79691776   25.02.2018 16:13:42   25.02.2018 16:13:58 11624
  11624        238                AdjQuietCoilSens                          xxxxxx      cld     17813280     20971520   25.02.2018 16:13:41   25.02.2018 16:13:42
  11623        237                         AdjDico                          xxxxxx      cld      1464800      4194304   25.02.2018 16:13:39   25.02.2018 16:13:40
  11622        236                          AdjTra                          xxxxxx      cld       699392      4194304   25.02.2018 16:13:37   25.02.2018 16:13:39
